Node,X,Y,Z,Subnodes,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
CUP,4.96651,-105.545,-58.549,CUP-4,BAR_HUG_PAW_SIR,BAR-CUP_CUP-HUG_CUP-PAW_CUP-SIR,BAR-CUP-4_CUP-HUG-4_CUP-PAW-4_CUP-SIR-4,BAR-4_HUG-4_PAW-4_SIR-9,0,inner,mid
SKY,-30.8991,126.698,-13.8218,SKY-2,FOX_SUN_TUB,FOX-SKY_SKY-SUN_SKY-TUB,FOX-SKY-2_SKY-SUN-2_SKY-TUB-2,FOX-2_SUN-2_TUB-2,0,outer,left
DUB,-102.542,43.9975,39.1236,DUB-5_DUB-1,ARM_WAR_WET_TOY,ARM-DUB_DUB-WAR_DUB-WET_DUB-TOY,ARM-DUB-1_DUB-WET-1_DUB-WAR-5_DUB-TOY-5,ARM-1_WET-1_WAR-5_TOY-5,0,outer,left
HEX,-122.389,-43.0732,-68.6571,HEX-3,GUT_SIP_MAY_WAX_MIX,GUT-HEX_HEX-SIP_HEX-MAY_HEX-WAX_HEX-MIX,GUT-HEX-3_HEX-SIP-3_HEX-MAY-3_HEX-WAX-3_HEX-MIX-3,GUT-3_SIP-3_MAY-3_WAX-3_MIX-3,0,outer,left
EVE,46.6843,32.4808,82.8557,EVE-14,OLD_GIG_IRE_FAX,EVE-OLD_EVE-GIG_EVE-IRE_EVE-FAX,EVE-OLD-14_EVE-GIG-14_EVE-IRE-14_EVE-FAX-14,OLD-14_GIG-14_IRE-14_FAX-11,0,outer,right
YAK,100.122,-54.3737,59.855,YAK-13_YAK-12,BUG_FIG_LAB_PRO_ZAP,BUG-YAK_FIG-YAK_LAB-YAK_PRO-YAK_YAK-ZAP,LAB-YAK-13_PRO-YAK-13_YAK-ZAP-13_BUG-YAK-12_FIG-YAK-12,LAB-13_PRO-13_ZAP-13_BUG-12_FIG-12,0,outer,right
WAX,-110.545,-57.1626,-97.9461,WAX-3,AIM_GUT_HEX_LID_MIX_MOM_SIP,AIM-WAX_GUT-WAX_HEX-WAX_LID-WAX_MIX-WAX_MOM-WAX_SIP-WAX,AIM-WAX-3_GUT-WAX-3_HEX-WAX-3_LID-WAX-3_MIX-WAX-3_MOM-WAX-3_SIP-WAX-3,AIM-3_GUT-3_HEX-3_LID-3_MIX-3_MOM-3_SIP-3,1,inner,left
ADO,-91.8754,12.1707,44.2788,ADO-5,BOA_TOY,ADO-BOA_ADO-TOY,ADO-BOA-5_ADO-TOY-5,BOA-5_TOY-5,0,inner,left
WAS,90.8453,77.1608,30.3545,WAS-11,KEG_PHI_TAR_ZOO,KEG-WAS_PHI-WAS_TAR-WAS_WAS-ZOO,KEG-WAS-11_PHI-WAS-11_TAR-WAS-11_WAS-ZOO-11,KEG-11_PHI-11_TAR-11_ZOO-11,0,outer,right
WAR,-119.752,24.1745,25.015,WAR-1_WAR-5,DUB_GAL_BOA,DUB-WAR_GAL-WAR_BOA-WAR,GAL-WAR-1_DUB-WAR-5_BOA-WAR-5,GAL-1_DUB-5_BOA-5,0,outer,left
