Node,X,Y,Z,Subnodes,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
KIT,-90.93338531,-69.64768021,-13.01105264,DEPRECATED,AGE_ART_CHI_COY_ELK_NOR_WIG_ONO,AGE-KIT_ART-KIT_CHI-KIT_COY-KIT_ELK-KIT_KIT-NOR_KIT-WIG_KIT-ONO,DEPRECATED,DEPRECATED,0,outer,left
MAY,-38.12798531,137.5014198,-38.92368264,DEPRECATED,GUT_HEX_INK_RUM_SIP,GUT-MAY_HEX-MAY_INK-MAY_MAY-RUM_MAY-SIP,DEPRECATED,DEPRECATED,0,outer,left
MAC,66.58791469,-4.202273215,51.82737736,DEPRECATED,AIR_FIX_GIG_IRE_POP_YES,AIR-MAC_FIX-MAC_GIG-MAC_IRE-MAC_MAC-POP_MAC-YES,DEPRECATED,DEPRECATED,0,outer,right
OVA,36.94091469,139.4845198,-38.20640264,DEPRECATED,LEG_NIX_PIE_RAD_SPY,LEG-OVA_NIX-OVA_OVA-PIE_OVA-RAD_OVA-SPY,DEPRECATED,DEPRECATED,0,outer,right
LAX,-74.61178531,-18.08536021,30.75307736,DEPRECATED,ACT_ART_ASH_BED_BUG_COY_GIN_HAM_ICE_MAD_NAN,ACT-LAX_ART-LAX_ASH-LAX_BED-LAX_BUG-LAX_COY-LAX_GIN-LAX_HAM-LAX_ICE-LAX_LAX-MAD_LAX-NAN,DEPRECATED,DEPRECATED,0,inner,left
MAD,-94.92168531,-30.39728021,17.08255736,DEPRECATED,ART_BED_CHI_COY_ICE_LAX,ART-MAD_BED-MAD_CHI-MAD_COY-MAD_ICE-MAD_LAX-MAD,DEPRECATED,DEPRECATED,0,outer,left
WIN,94.15991469,-42.91568021,-59.32118264,DEPRECATED,BAH_BAM_ETA_HAY_JAR_PAY,BAH-WIN_BAM-WIN_ETA-WIN_HAY-WIN_JAR-WIN_PAY-WIN,DEPRECATED,DEPRECATED,0,outer,right
YES,51.32191469,19.80852979,44.33137736,DEPRECATED,ACE_AHI_EON_ERA_FIX_GIG_IRE_MAC_NIL_POP_WET,ACE-YES_AHI-YES_EON-YES_ERA-YES_FIX-YES_GIG-YES_IRE-YES_MAC-YES_NIL-YES_POP-YES_WET-YES,DEPRECATED,DEPRECATED,0,inner,right
LAW,12.92391469,-28.95138021,67.68987736,DEPRECATED,ERA_EVE_FOG_GIG_IRE_RIB_LIE_TAU_SOY_OLD,ERA-LAW_EVE-LAW_FOG-LAW_GIG-LAW_IRE-LAW_LAW-RIB_LAW-LIE_LAW-TAU_LAW-SOY_LAW-OLD,DEPRECATED,DEPRECATED,0,inner,right
ZAP,-19.94078531,-85.42058021,53.95747736,DEPRECATED,BUG_GOO_HOT_LAB_LIE_OLD_PIG_PRO_TAU_YAK,BUG-ZAP_GOO-ZAP_HOT-ZAP_LAB-ZAP_LIE-ZAP_OLD-ZAP_PIG-ZAP_PRO-ZAP_TAU-ZAP_YAK-ZAP,DEPRECATED,DEPRECATED,0,inner,left
