Bar_name,Module,Min_X,Min_Y,Min_Z,Max_X,Max_Y,Max_Z,Nodes,Physical_Bars,Physical_Nodes,Adjacent_Nodes,Adjacent_Physical_Bars,Adjacent_Bars,Adjacent_Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
GOO-PRO,1,-42.75128531,-111.9128802,30.55587736,-22.35008531,-110.5628802,52.64477736,GOO_PRO,DEPRECATED,DEPRECATED,ALL_BUG_FIG_PRO_ZAP_YAK_RUG_NOR_KEY_SAD_PIG_WOW_ALL_GOO_HOT_PIG_ZAP_YAK,DEPRECATED,ALL-GOO_BUG-GOO_FIG-GOO_GOO-PRO_GOO-ZAP_GOO-YAK_GOO-RUG_GOO-NOR_GOO-KEY_GOO-SAD_GOO-PIG_GOO-WOW_ALL-PRO_GOO-PRO_HOT-PRO_PIG-PRO_PRO-ZAP_PRO-YAK,DEPRECATED,0,in_to_out,left
GOO-SAD,1,-48.25568531,-136.1468802,15.25143736,-42.75128531,-110.5628802,30.55587736,GOO_SAD,DEPRECATED,DEPRECATED,ALL_BUG_FIG_PRO_ZAP_YAK_RUG_NOR_KEY_SAD_PIG_WOW_ALL_GOO_HIP_KEY_RUG_WOW,DEPRECATED,ALL-GOO_BUG-GOO_FIG-GOO_GOO-PRO_GOO-ZAP_GOO-YAK_GOO-RUG_GOO-NOR_GOO-KEY_GOO-SAD_GOO-PIG_GOO-WOW_ALL-SAD_GOO-SAD_HIP-SAD_KEY-SAD_RUG-SAD_SAD-WOW,DEPRECATED,0,in_to_out,left
SAD-WOW,1,-57.83488531,-136.1468802,-12.31965264,-48.25568531,-126.2468802,15.25143736,SAD_WOW,DEPRECATED,DEPRECATED,COP_ELK_GET_GOO_HIP_KEY_NEW_NOR_RUG_SAD_USE_WIG_ALL_GOO_HIP_KEY_RUG_WOW,DEPRECATED,COP-WOW_ELK-WOW_GET-WOW_GOO-WOW_HIP-WOW_KEY-WOW_NEW-WOW_NOR-WOW_RUG-WOW_SAD-WOW_USE-WOW_WIG-WOW_ALL-SAD_GOO-SAD_HIP-SAD_KEY-SAD_RUG-SAD_SAD-WOW,DEPRECATED,0,in_to_out,left
NEW-WOW,1,-57.83488531,-128.0658802,-37.50233264,-43.07138531,-126.2468802,-12.31965264,NEW_WOW,DEPRECATED,DEPRECATED,COP_GET_HIP_WOW_USE_COP_ELK_GET_GOO_HIP_KEY_NEW_NOR_RUG_SAD_USE_WIG,DEPRECATED,COP-NEW_GET-NEW_HIP-NEW_NEW-WOW_NEW-USE_COP-WOW_ELK-WOW_GET-WOW_GOO-WOW_HIP-WOW_KEY-WOW_NEW-WOW_NOR-WOW_RUG-WOW_SAD-WOW_USE-WOW_WIG-WOW,DEPRECATED,0,in_to_out,left
COP-GET,1,-40.06518531,-135.3728802,-38.18104264,-12.52008531,-102.0463802,-31.72499264,COP_GET,DEPRECATED,DEPRECATED,WOW_USE_NEW_TAT_GET_ELK_CAB_COP_DAD_FOR_OAK_HIP_RUG_WOW_NEW,DEPRECATED,COP-WOW_COP-USE_COP-NEW_COP-TAT_COP-GET_COP-ELK_CAB-GET_COP-GET_DAD-GET_FOR-GET_GET-OAK_GET-HIP_GET-RUG_GET-WOW_GET-NEW,DEPRECATED,1,inner,left
COP-TAT,1,-54.99058531,-102.0463802,-67.06360264,-40.06518531,-68.70018021,-38.18104264,COP_TAT,DEPRECATED,DEPRECATED,COP_ELK_ONO_SIR_USE_WOW_USE_NEW_TAT_GET_ELK,DEPRECATED,COP-TAT_ELK-TAT_ONO-TAT_SIR-TAT_TAT-USE_COP-WOW_COP-USE_COP-NEW_COP-TAT_COP-GET_COP-ELK,DEPRECATED,1,inner,left
SIR-TAT,1,-82.40258531,-68.70018021,-75.01906264,-54.99058531,-38.02238021,-67.06360264,SIR_TAT,DEPRECATED,DEPRECATED,COP_ELK_ONO_SIR_USE_AGE_BAR_CUP_ELK_FLU_HUG_ONO_TAT,DEPRECATED,COP-TAT_ELK-TAT_ONO-TAT_SIR-TAT_TAT-USE_AGE-SIR_BAR-SIR_CUP-SIR_ELK-SIR_FLU-SIR_HUG-SIR_ONO-SIR_SIR-TAT,DEPRECATED,1,inner,left
AGE-SIR,1,-87.77638531,-40.48878021,-75.01906264,-82.40258531,-38.02238021,-34.41849264,AGE_SIR,DEPRECATED,DEPRECATED,AGE_BAR_CUP_ELK_FLU_HUG_ONO_TAT_KIT_BED_CHI_DOG_COY_BAR_SIR_CUP_ONO_ELK,DEPRECATED,AGE-SIR_BAR-SIR_CUP-SIR_ELK-SIR_FLU-SIR_HUG-SIR_ONO-SIR_SIR-TAT_AGE-KIT_AGE-BED_AGE-CHI_AGE-DOG_AGE-COY_AGE-BAR_AGE-SIR_AGE-CUP_AGE-ONO_AGE-ELK,DEPRECATED,0,inner,left
AGE-KIT,1,-90.93338531,-69.64768021,-34.41849264,-87.77638531,-40.48878021,-13.01105264,AGE_KIT,DEPRECATED,DEPRECATED,KIT_BED_CHI_DOG_COY_BAR_SIR_CUP_ONO_ELK_AGE_ART_CHI_COY_ELK_NOR_WIG_ONO,DEPRECATED,AGE-KIT_AGE-BED_AGE-CHI_AGE-DOG_AGE-COY_AGE-BAR_AGE-SIR_AGE-CUP_AGE-ONO_AGE-ELK_AGE-KIT_ART-KIT_CHI-KIT_COY-KIT_ELK-KIT_KIT-NOR_KIT-WIG_KIT-ONO,DEPRECATED,0,in_to_out,left
ELK-KIT,1,-90.93338531,-77.45418021,-31.86202264,-71.27318531,-69.64768021,-13.01105264,ELK_KIT,DEPRECATED,DEPRECATED,AGE_COP_COY_WIG_SIR_NOR_USE_KIT_TAT_WOW_ONO_AGE_ART_CHI_COY_ELK_NOR_WIG_ONO,DEPRECATED,AGE-ELK_COP-ELK_COY-ELK_ELK-WIG_ELK-SIR_ELK-NOR_ELK-USE_ELK-KIT_ELK-TAT_ELK-WOW_ELK-ONO_AGE-KIT_ART-KIT_CHI-KIT_COY-KIT_ELK-KIT_KIT-NOR_KIT-WIG_KIT-ONO,DEPRECATED,0,in_to_out,left
