jascha name 1,jascha name 2,jascha (new) bar,brian 1,brian 2,brian (old) bar,length (text from sticker),length (decimal),step,is this bar needed on 1/10/2015?
FAX,AIR,"FAX,AIR",the,air,"the,air",33.5,33.5,264,
ZAP,OLD,"ZAP,OLD",cue,hen,"cue,hen",40.7,40.7,170,
YES,WET,"YES,WET",tab,poi,"tab,poi",51.4,51.4,108,
NAN,MOP,"NAN,MOP",tad,ass,"tad,ass",33.2,33.2,104,
BED,DOG,"BED,DOG",lip,dog,"lip,dog",34,34,373,
GAL,RAD,"GAL,RAD",mag,rad,"mag,rad",29,29,384,
DUI,HIT,"DUI,HIT",pix,hit,"pix,hit",29.3,29.3,392,
NOR,WIG,"NOR,WIG",ads,two,"ads,two",30.7,30.7,351,1
TRY,LAM,"TRY,LAM",try,ram,"try,ram",31.1,31.1,87,
ADO,TOY,"ADO,TOY",ado,toy,"ado,toy",31.8,31.8,71,1
NOR,FIG,"NOR,FIG",ads,hat,"ads,hat",31.9,31.9,349,1
YAK,FIG,"YAK,FIG",til,hat,"til,hat",31.1,31.1,301,
FIX,GAS,"FIX,GAS",pet,ape,"pet,ape",32.6,32.6,239,
DUI,SKY,"DUI,SKY",pix,hew,"pix,hew",30.5,30.5,389,
RUM,FEW,"RUM,FEW",gnu,has,"gnu,has",31.2,31.2,359,
FIG,ART,"FIG,ART",hat,art,"hat,art",42.3,42.3,352,
HIT,DIG,"HIT,DIG",hit,dig,"hit,dig",34.2,34.2,393,
PLY,NAN,"PLY,NAN",ply,tad,"ply,tad",49.1,49.1,44,
TAX,OAR,"TAX,OAR",tax,hey,"tax,hey",35.2,35.2,333,
OLD,HOT,"OLD,HOT",hen,hog,"hen,hog",39,39,173,
ACE,FIX,"ACE,FIX",ace,pet,"ace,pet",51.4,51.4,210,1
GOO,ALL,"GOO,ALL",goo,all,"goo,all",34,34,294,
RUM,SHY,"RUM,SHY",gnu,dib,"gnu,dib",40.2,40.2,362,
GIN,TAX,"GIN,TAX",gin,tax,"gin,tax",51.4,51.4,198,
MAD,CHI,"MAD,CHI",mad,ran,"mad,ran",31.2,31.2,376,
ELF,GAL,"ELF,GAL",tan,mag,"tan,mag",32.5,32.5,270,
FEW,GAL,"FEW,GAL",has,mag,"has,mag",30.8,30.8,383,
NOR,KEY,"NOR,KEY",ads,man,"ads,man",30.9,30.9,347,1
TAX,SAY,"TAX,SAY",tax,top,"tax,top",44.1,44.1,330,
GIG,EVE,"GIG,EVE",gig,had,"gig,had",33.5,33.5,95,
COY,BED,"COY,BED",coy,lip,"coy,lip",48,48,337,
RUG,FOR,"RUG,FOR",log,maw,"log,maw",31.3,31.3,399,
BED,MAD,"BED,MAD",lip,mad,"lip,mad",32.3,32.3,371,
DUI,TUB,"DUI,TUB",pix,tub,"pix,tub",30.3,30.3,390,
ICE,MAD,"ICE,MAD",dew,mad,"dew,mad",31.6,31.6,375,
BED,SAY,"BED,SAY",lip,top,"lip,top",43.6,43.6,368,
ALL,EGG,"ALL,EGG",all,rat,"all,rat",33.6,33.6,403,
LUG,TAR,"LUG,TAR",lug,tar,"lug,tar",48.4,48.4,417,
YES,ACE,"YES,ACE",tab,ace,"tab,ace",44.3,44.3,110,
ELF,WAR,"ELF,WAR",tan,pow,"tan,pow",33.4,33.4,274,
NOR,ELK,"NOR,ELK",ads,pit,"ads,pit",47.9,47.9,346,1
NOR,KIT,"NOR,KIT",ads,any,"ads,any",40.5,40.5,348,1
ZOO,WAS,"ZOO,WAS",are,hid,"are,hid",35.2,35.2,313,
GIN,BED,"GIN,BED",gin,lip,"gin,lip",49.9,49.9,199,
ERA,NIL,"ERA,NIL",aby,tea,"aby,tea",42.8,42.8,22,1
FIX,EYE,"FIX,EYE",pet,pun,"pet,pun",34.2,34.2,236,
COY,ELK,"COY,ELK",coy,pit,"coy,pit",48.7,48.7,340,
DRY,SHY,"DRY,SHY",dry,dib,"dry,dib",45.7,45.7,288,
ACE,SUN,"ACE,SUN",ace,tom,"ace,tom",32.5,32.5,218,1
ART,KIT,"ART,KIT",art,any,"art,any",47.3,47.3,355,
TAX,DAY,"TAX,DAY",tax,day,"tax,day",44.6,44.6,327,
COY,CHI,"COY,CHI",coy,ran,"coy,ran",33.4,33.4,343,
DUI,GUN,"DUI,GUN",pix,gun,"pix,gun",47.6,47.6,386,
IRE,EVE,"IRE,EVE",den,had,"den,had",43.1,43.1,117,
VOW,ZZZ,"VOW,ZZZ",dab,ark,"dab,ark",34.1,34.1,147,
IVY,LUG,"IVY,LUG",guy,lug,"guy,lug",48.5,48.5,405,
JUG,AHI,"JUG,AHI",ant,tug,"ant,tug",41.7,41.7,53,
PIG,EGG,"PIG,EGG",pig,rat,"pig,rat",34.4,34.4,250,
BUG,NOR,"BUG,NOR",tap,ads,"tap,ads",49.4,49.4,178,
DUI,SUN,"DUI,SUN",pix,tom,"pix,tom",31.2,31.2,391,
NIL,ADO,"NIL,ADO",tea,ado,"tea,ado",42.3,42.3,33,
ERA,GIG,"ERA,GIG",aby,gig,"aby,gig",52.1,52.1,24,1
ASH,ART,"ASH,ART",mid,art,"mid,art",39.3,39.3,197,
NAY,BOA,"NAY,BOA",asp,tie,"asp,tie",36.2,36.2,141,
GIG,YES,"GIG,YES",gig,tab,"gig,tab",50,50,88,
ART,MAD,"ART,MAD",art,mad,"art,mad",38.1,38.1,354,
REF,SHY,"REF,SHY",lob,dib,"lob,dib",37.1,37.1,137,
RUG,WOW,"RUG,WOW",log,abs,"log,abs",50.4,50.4,395,
WAS,PHI,"WAS,PHI",hid,quo,"hid,quo",28.5,28.5,465,
ACE,POP,"ACE,POP",ace,pop,"ace,pop",33.4,33.4,216,1
ODD,KEG,"ODD,KEG",dug,mob,"dug,mob",31.2,31.2,428,
TAR,KEG,"TAR,KEG",tar,mob,"tar,mob",32.4,32.4,461,
INK,ALA,"INK,ALA",pub,tip,"pub,tip",28.4,28.4,488,
LUG,ODD,"LUG,ODD",lug,dug,"lug,dug",32.9,32.9,425,
DUI,DIG,"DUI,DIG",pix,dig,"pix,dig",31.5,31.5,388,
FAN,FUN,"FAN,FUN",tow,him,"tow,him",32.6,32.6,152,
IVY,EYE,"IVY,EYE",guy,pun,"guy,pun",33.3,33.3,413,
ALL,SAD,"ALL,SAD",all,did,"all,did",37.2,37.2,404,
AGO,ALA,"AGO,ALA",ago,tip,"ago,tip",25.9,25.9,431,1
DAY,PAW,"DAY,PAW",day,put,"day,put",29.1,29.1,440,
SAD,KEY,"SAD,KEY",did,man,"did,man",29.8,29.8,499,
BIO,RAD,"BIO,RAD",hem,rad,"hem,rad",31.4,31.4,476,
RUG,ALL,"RUG,ALL",log,all,"log,all",31.8,31.8,402,
SOY,RIB,"SOY,RIB",low,dim,"low,dim",32.4,32.4,21,
TAX,WIZ,"TAX,WIZ",tax,due,"tax,due",36,36,334,
HOW,PIE,"HOW,PIE",cry,pie,"cry,pie",42.6,42.6,222,
TAR,JAR,"TAR,JAR",tar,aft,"tar,aft",47,47,457,
BED,CHI,"BED,CHI",lip,ran,"lip,ran",32.7,32.7,369,
LIE,OLD,"LIE,OLD",lie,hen,"lie,hen",34.9,34.9,128,
DAY,SAY,"DAY,SAY",day,top,"day,top",28.6,28.6,441,
WAS,KEG,"WAS,KEG",hid,mob,"hid,mob",29.2,29.2,464,
GUT,MAY,"GUT,MAY",gut,may,"gut,may",31.4,31.4,482,
POP,EYE,"POP,EYE",pop,pun,"pop,pun",32.8,32.8,242,
DAY,ZIG,"DAY,ZIG",day,arc,"day,arc",29.8,29.8,439,
GUT,HEX,"GUT,HEX",gut,hex,"gut,hex",31.5,31.5,484,
NOM,HIT,"NOM,HIT",cut,hit,"cut,hit",34.6,34.6,318,
ASH,HAM,"ASH,HAM",mid,ham,"mid,ham",42.3,42.3,196,
SPY,WHO,"SPY,WHO",lot,pod,"lot,pod",48.7,48.7,469,
ERA,PLY,"ERA,PLY",aby,ply,"aby,ply",54.9,54.9,23,1
EAR,WAS,"EAR,WAS",lye,hid,"lye,hid",35.4,35.4,305,
JAM,ZOO,"JAM,ZOO",tot,are,"tot,are",35.4,35.4,311,
OIL,RUM,"OIL,RUM",cub,gnu,"cub,gnu",56.6,56.6,279,
ADO,NAY,"ADO,NAY",ado,asp,"ado,asp",34,34,74,1
WOW,SAD,"WOW,SAD",abs,did,"abs,did",35,35,496,1
BUG,LAX,"BUG,LAX",tap,pew,"tap,pew",55.2,55.2,175,
NOM,JOY,"NOM,JOY",cut,and,"cut,and",35.1,35.1,319,
GEL,PHI,"GEL,PHI",men,quo,"men,quo",35.3,35.3,509,
VOW,TAX,"VOW,TAX",dab,tax,"dab,tax",53.4,53.4,145,
SPY,JOY,"SPY,JOY",lot,and,"lot,and",35.7,35.7,471,
