jascha name 1,jascha name 2,jascha (new) bar,brian 1,brian 2,brian (old) bar,length (text from sticker),length (decimal),step,is this bar needed on 1/10/2015?
COW,KEG,"COW,KEG",cow,mob,"cow,mob",33 3/4,33.75,262,
WOW,KEY,"WOW,KEY",abs,man,"abs,man",33 3/4,33.75,497,1
ETA,TUX,"ETA,TUX",git,dip,"git,dip",33 3/4,33.75,602,
LAW,RIB,"LAW,RIB",cot,dim,"cot,dim",33 3/4,33.75,10,
GOO,FIG,"GOO,FIG",goo,hat,"goo,hat",33.8,33.8,293,
REF,NAY,"REF,NAY",lob,asp,"lob,asp",33.8,33.8,140,
TAG,BOY,"TAG,BOY",tag,tic,"tag,tic",33.8,33.8,561,
GOO,SAD,"GOO,SAD",goo,did,"goo,did",33.8,33.8,296,
HIT,SUN,"HIT,SUN",hit,tom,"hit,tom",33 7/8,33.875,394,
BOY,BAH,"BOY,BAH",tic,pot,"tic,pot",33 7/8,33.875,668,
IVY,SUN,"IVY,SUN",guy,tom,"guy,tom",33 7/8,33.875,410,
WET,TOY,"WET,TOY",poi,toy,"poi,toy",33 7/8,33.875,162,
GUN,DIG,"GUN,DIG",gun,dig,"gun,dig",33 7/8,33.875,520,
COW,WAS,"COW,WAS",cow,hid,"cow,hid",33 7/8,33.875,261,
TAR,WHY,"TAR,WHY",tar,hoe,"tar,hoe",33 7/8,33.875,459,
ETA,BOY,"ETA,BOY",git,tic,"git,tic",33 7/8,33.875,597,
YES,MAC,"YES,MAC",tab,mac,"tab,mac",33.9,33.9,112,
GOO,YAK,"GOO,YAK",goo,til,"goo,til",33.9,33.9,295,
IVY,SKY,"IVY,SKY",guy,hew,"guy,hew",34,34,408,
BED,DOG,"BED,DOG",lip,dog,"lip,dog",34,34,373,
GOO,ALL,"GOO,ALL",goo,all,"goo,all",34,34,294,
ADO,NAY,"ADO,NAY",ado,asp,"ado,asp",34,34,74,1
MOO,GEL,"MOO,GEL",dot,men,"dot,men",34,34,454,
SAY,ZIG,"SAY,ZIG",top,arc,"top,arc",34,34,442,
VOW,DRY,"VOW,DRY",dab,dry,"dab,dry",34.1,34.1,146,
LUG,PAY,"LUG,PAY",lug,pup,"lug,pup",34.1,34.1,424,
VOW,ZZZ,"VOW,ZZZ",dab,ark,"dab,ark",34.1,34.1,147,
VAN,BOX,"VAN,BOX",his,mit,"his,mit",34.1,34.1,680,
GUT,ALA,"GUT,ALA",gut,tip,"gut,tip",34.1,34.1,485,
