# edge,length (in)
LUG-WHY,32.7
MAC-POP,28.7
MAC-YES,33.9
MAY-RUM,32.5
MAY-SIP,30.7
MIX-MOM,30.9
MIX-OAR,42.8
MIX-WAX,44.6
MOM-OAR,32.75
MOM-TAX,56.1
MOM-WAX,49.2
MOO-PIG,33.5
MOP-SOY,34.25
MOP-NAN,33.2
MOP-PLY,35.7
NAN-VOW,49.4
NAN-SOY,46.9
NAN-PLY,49.1
NAN-ZZZ,33.5
NAY-PLY,36.8
NAY-REF,33.8
NEW-WOW,33.2
NEW-USE,39.9
NIL-TOY,30.3
NIL-WET,44.9
NIL-YES,45.8
NIL-PLY,46.2
NIX-SPY,57.2
NIX-OVA,35.8
NIX-WHO,56.9
NIX-PIE,46.6
NOM-WET,46.9
NOM-SPY,54.5
NOR-WIG,30.7
NOR-WOW,46.8
OAK-ROB,28.3
OAR-TAX,35.2
OAR-ZIG,39.5
OFF-WHO,55.1
OFF-TAG,46.2
OFF-ORC,34.8
OIL-VOW,48.9
OIL-RUM,56.6
OIL-SHY,41.0
OIL-TAX,53.4
OIL-REF,43.5
OLD-TAU,31.0
OLD-ZAP,40.7
ONO-SIR,35.8
ONO-USE,47.2
ONO-TAT,36.9
ORC-TAG,30.6
OVA-PIE,30.6
OVA-RAD,34.2
OVA-SPY,35.7
PAW-SAY,36.9
PAW-ZIG,34.4
PAW-VAN,39.5
PAY-TUX,30.5
PAY-WHY,30.6
PAY-WIN,35.1
PHI-TAR,33.25
PHI-WAS,28.5
PHI-SEX,31.4
PHI-SAW,44.9
PIE-RAD,32.875
PIE-RUM,41.4
PIE-SPY,46.3
PIG-RUG,49.3
PIG-ZAP,44.8
PIG-PRO,34.5
PLY-SOY,53.4
PLY-REF,52.6
PLY-VOW,54.1
POP-YES,31.8
PRO-ZAP,30.4
PRO-YAK,35.0
RAD-SPY,33.0
RAW-SPY,32.875
RAW-WHO,34.875
REF-RUM,67.875
REF-VOW,48.8
REF-SHY,37.1
RIB-SOY,32.4
ROB-SEX,31.7
RUG-SAD,32.375
RUG-WOW,50.4
RUM-SHY,40.2
RUM-SIP,45.0
SAD-WOW,35.0
SAW-TAR,32.5
SAW-SEX,40.1
SAW-YAY,34.8
SAW-WHY,37.6
SAY-TAX,44.1
SAY-WIZ,42.6
SAY-ZIG,34.0
SEX-TAR,45.1
SEX-YAY,54.4
SIP-WAX,53.9
SIR-TAT,45.9
SKY-SUN,30.5
